trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,17,-5.881200566230374,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",30,21,2.9163948190030604,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,13,-2.992926186121868,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,14,9.10979780588449,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",20,11,0.705263961681863,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-51.11141080849716,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",20,0,-2.798752420812663,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.6111172395328651}",35,19,-56.181716958870105,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375365}",20,0,-116.05122565047384,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.5989560064661611}",20,0,-8.800180046175676,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,12,-7.120667650271408,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",25,14,3.688498884054866,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,0,-3.369585839567213,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",25,14,-7.8107868765273984,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",25,9,-3.51897806802795,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523876}",30,18,-48.6817716369887,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478638}",25,0,-3.9979346820499013,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",30,12,21.92329938275313,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",30,0,-16.43217166471346,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,0,-62.871575365739616,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,1,-29.939816392631,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",25,16,-15.545130547229162,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",30,18,22.681488262170532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",30,6,-59.85614460270266,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,0,8.845628768403397,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",20,0,-87.09948794129404,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,10,-13.340585484978146,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",25,0,9.581367731241986,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,0,-36.52549718947022,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,0,-40.53611477481194,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",20,6,-33.54147515531609,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,0,-19.27513624056592,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.475340042005707}",20,0,-15.553985386790876,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
